Term,Definition,used by,contexts used,Related terms,Linked Content,Related Partner,Anticipated Response,Translation (ES),Other suggested terms,Created time,Glossary (PT),Last edited time,Review Status
¯\(ツ)/¯,"""Ow shucks, I don't know""","Core team, Internal only, app users, developers (external), field teams, funders, international partners, local partners, technical accompaniment, volunteers","ASCII, internal only, public - universal",,,,Find out if there is need to find a response and gauge priority,,,"May 12, 2020 10:24 AM",,"April 26, 2024 9:50 AM",Not started
About CoMapeo,"A CoMapeo Settings option that opens the screen that displays information about CoMapeo, the current version installed, link to release updates, and a way to provide feedback.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:19 PM",Approved
activity,"has a definition in terms of funding / project proposals (goal, objective, aims, activities, outputs) - a coherent action with beginning and end. Could sometimes be a really big item (a week long international training trip) or could be an afternoon workshop - depends a bit on the funder  and how they are defining things and also how granular we need/want to get. 
There might be other definitions though for partners",,programs management,trip (https://www.notion.so/trip-2f7f1a35260640e6a3fb52985cb680ee?pvs=21),,,,actividad (https://www.notion.so/actividad-7977660fd3464db6a4c8ebcaf6f472b2?pvs=21),,"December 2, 2022 9:25 AM",,"October 3, 2023 9:02 PM",Not started
AEA or TOA,All Eyes on the Amazon - Project,"Core team, funders, international partners",ACRONYM,,"AEA (https://www.notion.so/AEA-c1f4edfd38b540438cb114dafa4fc3c8?pvs=21) ",,,,,"August 18, 2020 4:00 PM",,"November 30, 2025 5:44 PM",Not started
AESS,"Accountability, Equity and Safer Spaces ",Awana Digital,"ACRONYM, internal only",,,,,,,"November 27, 2023 6:33 PM",,"April 26, 2024 9:45 AM",Not started
AF or AC/AF,Amazon Frontlines - partner in Ecuador,Core team,ACRONYM,,,AC/AF | Partnership (https://www.notion.so/AC-AF-Partnership-1cdce312ee094f71a7a65c1f306c5d78?pvs=21),,,,"November 10, 2020 3:37 PM",,"April 26, 2024 9:43 AM",Not started
affiliate,,,programs management,,,,,,,"December 2, 2022 9:29 AM",,"July 12, 2023 3:57 PM",Not started
Agile Methodology,"The Agile methodology is project management frameworks that break projects down into smaller phases, known as sprints. Agile relies on iterative cycles, allowing teams to adapt to changes and regularly refine their work.",Design and Development team,Dev,,,,,,,"February 13, 2025 5:25 PM",,"July 17, 2025 7:43 PM",Not started
agreements (a.k.a community agreements),,,"""HR""",,,,,,,"December 14, 2022 1:28 PM",,"July 12, 2023 3:57 PM",Not started
All Projects,"A Menu option that opens the All Projects when tapped. 

All Projects displays a list of projects currently on the device. 

Any person using CoMapeo can create a New Project from the All Projects screen.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
ally,,,programs management,,,,,aliado (https://www.notion.so/aliado-a861c96a374d427fb369bf79dcf48e04?pvs=21),,"December 2, 2022 9:29 AM",,"July 12, 2023 3:57 PM",Not started
APK,"Android Package Kit : APK files, also called here ""Installation files”  have a .apk https://www.notion.so/complete-reference-guide/glossary-and-quick-reference-sheets/glossary-of-mapeo-related-terms#file-extension and can be used by Android phones to distribute and install mobile https://www.notion.so/complete-reference-guide/glossary-and-quick-reference-sheets/glossary-of-mapeo-related-terms#application-app
.","Core team, Design and Development team, app users, developers (external)","ACRONYM, Dev, public - universal",,https://docs.mapeo.app/complete-reference-guide/glossary-and-quick-reference-sheets/glossary-of-mapeo-related-terms#apk,,,,,"January 19, 2023 3:52 PM",,"July 17, 2025 7:43 PM",Not started
App dev w/ partners,,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:36 PM",Not started
App Shell,Application shell is a mobile app which render a portion of the app with only components necessary to launch an application but with no data (or fake data). This will display the skeleton of the UI and the main components needed for easier user testing.,"Design and Development team, tool testers",Dev,Mapeo 6 (https://www.notion.so/Mapeo-6-80e769d8fb8141e299e6e2f0ed892b73?pvs=21),,,,,,"March 14, 2023 11:23 AM",,"July 17, 2025 7:43 PM",Not started
Area of work,,,programs management,,,,,,,"December 8, 2022 12:17 PM",,"July 12, 2023 3:57 PM",Not started
Audio (Audio Recording),A feature that enables a person to record audio and attach it to an Observation.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:09 PM",Approved
Bike rack,The place we park ideas and questions that are outside the scope of a discussion or focus of a team or committee,,,,,,,,,"December 6, 2022 2:56 PM",,"July 12, 2023 3:57 PM",Not started
bucket,,,programs management,,,,,,,"December 8, 2022 12:12 PM",,"July 12, 2023 3:58 PM",Not started
bug,Bugs are errors or defects in the code or design of a product that cause it to behave differently from the expected or intended results.,"Core team, Design and Development team, developers (external), technical accompaniment","Dev, MAPEO issue, external but private, funder reporting, prioritizing, training","debug (https://www.notion.so/debug-db2106c552964af1a077ac4b6f7ba9f2?pvs=21), Issues (https://www.notion.so/Issues-5e0ce3145ca447068b9b5d18810064d5?pvs=21), Fixes (https://www.notion.so/Fixes-2bee60ceb3c5489995d92024ea56ea90?pvs=21)",,,,,,"May 12, 2020 10:24 AM",,"July 17, 2025 7:43 PM",Not started
Camera,The third tab on the lower nav bar that opens the device’s camera and enables a person to start a new use observation by taking a photo.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Categories / Category,Pre-defined labels for organizing Observations within a Project.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Categories Set,"Previously known as Config, Categories Set are files that contain and define the distinct Categories for a Project.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Choose File,"Internally known as File Picker, this feature enables anyone using CoMapeo to upload a custom Background Map to their device only.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
